"Date","category","n","perc","Stratification","Group","Organisation"
2025-08-02,"Overweight",8,16.3265306122449,"agegroup","Over 45 years","Overall"
2025-08-02,"Overweight",11,33.3333333333333,"agegroup","Under 30 years","Overall"
2025-08-02,"Underweight",10,20.4081632653061,"agegroup","30-44 years","Overall"
2025-08-02,"Underweight",9,18.3673469387755,"agegroup","Over 45 years","Overall"
2025-08-02,"Underweight",3,9.09090909090909,"agegroup","Under 30 years","Overall"
2025-08-03,"Normal",26,53.0612244897959,"agegroup","30-44 years","Overall"
2025-08-03,"Normal",28,59.5744680851064,"agegroup","Over 45 years","Overall"
2025-08-03,"Normal",16,45.7142857142857,"agegroup","Under 30 years","Overall"
2025-08-03,"Obese",4,11.4285714285714,"agegroup","Under 30 years","Overall"
2025-08-03,"Overweight",13,26.530612244898,"agegroup","30-44 years","Overall"
2025-08-03,"Overweight",13,27.6595744680851,"agegroup","Over 45 years","Overall"
2025-08-03,"Overweight",13,37.1428571428571,"agegroup","Under 30 years","Overall"
2025-08-03,"Underweight",10,20.4081632653061,"agegroup","30-44 years","Overall"
2025-08-03,"Underweight",6,12.7659574468085,"agegroup","Over 45 years","Overall"
2025-08-03,"Underweight",2,5.71428571428571,"agegroup","Under 30 years","Overall"
2025-08-04,"Normal",27,52.9411764705882,"agegroup","30-44 years","Overall"
2025-08-04,"Normal",27,61.3636363636364,"agegroup","Over 45 years","Overall"
2025-08-04,"Normal",14,50,"agegroup","Under 30 years","Overall"
2025-08-04,"Obese",1,2.27272727272727,"agegroup","Over 45 years","Overall"
2025-08-04,"Obese",1,3.57142857142857,"agegroup","Under 30 years","Overall"
2025-08-04,"Overweight",10,19.6078431372549,"agegroup","30-44 years","Overall"
2025-08-04,"Overweight",11,25,"agegroup","Over 45 years","Overall"
2025-08-04,"Overweight",9,32.1428571428571,"agegroup","Under 30 years","Overall"
2025-08-04,"Underweight",14,27.4509803921569,"agegroup","30-44 years","Overall"
2025-08-04,"Underweight",5,11.3636363636364,"agegroup","Over 45 years","Overall"
2025-08-04,"Underweight",4,14.2857142857143,"agegroup","Under 30 years","Overall"
2025-08-05,"Normal",26,50.9803921568627,"agegroup","30-44 years","Overall"
2025-08-05,"Normal",32,58.1818181818182,"agegroup","Over 45 years","Overall"
2025-08-05,"Normal",18,50,"agegroup","Under 30 years","Overall"
2025-08-05,"Obese",2,3.63636363636364,"agegroup","Over 45 years","Overall"
2025-08-05,"Obese",4,11.1111111111111,"agegroup","Under 30 years","Overall"
2025-08-05,"Overweight",11,21.5686274509804,"agegroup","30-44 years","Overall"
2025-08-05,"Overweight",11,20,"agegroup","Over 45 years","Overall"
2025-08-05,"Overweight",9,25,"agegroup","Under 30 years","Overall"
2025-08-05,"Underweight",14,27.4509803921569,"agegroup","30-44 years","Overall"
2025-08-05,"Underweight",10,18.1818181818182,"agegroup","Over 45 years","Overall"
2025-08-05,"Underweight",5,13.8888888888889,"agegroup","Under 30 years","Overall"
2025-07-28,"Normal",8,50,"governorate","Deir al Balah","Overall"
2025-07-28,"Normal",11,55,"governorate","Gaza City","Overall"
2025-07-28,"Normal",12,66.6666666666667,"governorate","Khan Younis","Overall"
2025-07-28,"Normal",7,41.1764705882353,"governorate","North Gaza","Overall"
2025-07-28,"Normal",10,43.4782608695652,"governorate","Rafah","Overall"
2025-07-28,"Obese",1,6.25,"governorate","Deir al Balah","Overall"
2025-07-28,"Obese",1,5,"governorate","Gaza City","Overall"
2025-07-28,"Overweight",4,25,"governorate","Deir al Balah","Overall"
2025-07-28,"Overweight",6,30,"governorate","Gaza City","Overall"
2025-07-28,"Overweight",4,22.2222222222222,"governorate","Khan Younis","Overall"
2025-07-28,"Overweight",6,35.2941176470588,"governorate","North Gaza","Overall"
2025-07-28,"Overweight",8,34.7826086956522,"governorate","Rafah","Overall"
2025-07-28,"Underweight",3,18.75,"governorate","Deir al Balah","Overall"
2025-07-28,"Underweight",2,10,"governorate","Gaza City","Overall"
2025-07-28,"Underweight",2,11.1111111111111,"governorate","Khan Younis","Overall"
2025-07-28,"Underweight",4,23.5294117647059,"governorate","North Gaza","Overall"
2025-07-28,"Underweight",5,21.7391304347826,"governorate","Rafah","Overall"
2025-07-29,"Normal",6,46.1538461538462,"governorate","Deir al Balah","Overall"
2025-07-29,"Normal",12,48,"governorate","Gaza City","Overall"
2025-07-29,"Normal",14,66.6666666666667,"governorate","Khan Younis","Overall"
2025-07-29,"Normal",8,42.1052631578947,"governorate","North Gaza","Overall"
2025-07-29,"Normal",15,55.5555555555556,"governorate","Rafah","Overall"
2025-07-29,"Obese",1,7.69230769230769,"governorate","Deir al Balah","Overall"
2025-07-29,"Obese",1,4,"governorate","Gaza City","Overall"
2025-07-29,"Obese",1,5.26315789473684,"governorate","North Gaza","Overall"
2025-07-29,"Overweight",2,15.3846153846154,"governorate","Deir al Balah","Overall"
2025-07-29,"Overweight",8,32,"governorate","Gaza City","Overall"
2025-07-29,"Overweight",5,23.8095238095238,"governorate","Khan Younis","Overall"
2025-07-29,"Overweight",7,36.8421052631579,"governorate","North Gaza","Overall"
2025-07-29,"Overweight",4,14.8148148148148,"governorate","Rafah","Overall"
2025-07-29,"Underweight",4,30.7692307692308,"governorate","Deir al Balah","Overall"
2025-07-29,"Underweight",4,16,"governorate","Gaza City","Overall"
2025-07-29,"Underweight",2,9.52380952380952,"governorate","Khan Younis","Overall"
2025-07-29,"Underweight",3,15.7894736842105,"governorate","North Gaza","Overall"
2025-07-29,"Underweight",8,29.6296296296296,"governorate","Rafah","Overall"
2025-07-30,"Normal",13,65,"governorate","Deir al Balah","Overall"
2025-07-30,"Normal",9,42.8571428571429,"governorate","Gaza City","Overall"
2025-07-30,"Normal",13,61.9047619047619,"governorate","Khan Younis","Overall"
2025-07-30,"Normal",11,55,"governorate","North Gaza","Overall"
2025-07-30,"Normal",13,56.5217391304348,"governorate","Rafah","Overall"
2025-07-30,"Obese",1,4.76190476190476,"governorate","Gaza City","Overall"
2025-07-30,"Obese",1,5,"governorate","North Gaza","Overall"
2025-07-30,"Overweight",4,20,"governorate","Deir al Balah","Overall"
2025-07-30,"Overweight",7,33.3333333333333,"governorate","Gaza City","Overall"
2025-07-30,"Overweight",5,23.8095238095238,"governorate","Khan Younis","Overall"
2025-07-30,"Overweight",4,20,"governorate","North Gaza","Overall"
2025-07-30,"Overweight",5,21.7391304347826,"governorate","Rafah","Overall"
2025-07-30,"Underweight",3,15,"governorate","Deir al Balah","Overall"
2025-07-30,"Underweight",4,19.047619047619,"governorate","Gaza City","Overall"
2025-07-30,"Underweight",3,14.2857142857143,"governorate","Khan Younis","Overall"
2025-07-30,"Underweight",4,20,"governorate","North Gaza","Overall"
2025-07-30,"Underweight",5,21.7391304347826,"governorate","Rafah","Overall"
2025-07-31,"Normal",9,50,"governorate","Deir al Balah","Overall"
2025-07-31,"Normal",12,42.8571428571429,"governorate","Gaza City","Overall"
2025-07-31,"Normal",14,56,"governorate","Khan Younis","Overall"
2025-07-31,"Normal",12,46.1538461538462,"governorate","North Gaza","Overall"
2025-07-31,"Normal",18,54.5454545454545,"governorate","Rafah","Overall"
2025-07-31,"Obese",1,5.55555555555556,"governorate","Deir al Balah","Overall"
2025-07-31,"Obese",2,7.14285714285714,"governorate","Gaza City","Overall"
2025-07-31,"Obese",1,4,"governorate","Khan Younis","Overall"
2025-07-31,"Obese",1,3.84615384615385,"governorate","North Gaza","Overall"
2025-07-31,"Overweight",5,27.7777777777778,"governorate","Deir al Balah","Overall"
2025-07-31,"Overweight",10,35.7142857142857,"governorate","Gaza City","Overall"
